N,NP,Time_s,Volume
200,1,0.0115,8000000
200,2,0.0072,8000000
200,4,0.0051,8000000
200,8,0.0041,8000000
400,1,0.0907,64000000
400,2,0.0601,64000000
400,4,0.0438,64000000
400,8,0.03,64000000
800,1,0.8441,512000000
800,2,0.7919,512000000
800,4,0.5105,512000000
800,8,0.4426,512000000
1200,1,4.0747,1728000000
1200,2,3.1254,1728000000
1200,4,2.3316,1728000000
1200,8,1.6044,1728000000
1600,1,13.3614,4096000000
1600,2,9.3693,4096000000
1600,4,6.9032,4096000000
1600,8,5.6047,4096000000
2000,1,26.7638,8000000000
2000,2,19.3342,8000000000
2000,4,13.7787,8000000000
2000,8,10.4707,8000000000
